#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2020,8,1,0,0,999,4.8,5.6,99,99,99,999,1015.1,999,29.3,999,99,99
2020,8,1,0,10,999,4.8,6,99,99,99,999,1015.3,999,29.3,999,99,99
2020,8,1,0,20,999,5.2,6.4,99,99,99,999,1015.3,999,29.3,999,99,99
2020,8,1,0,30,999,5.1,6.8,99,99,99,999,1015.4,999,29.3,999,99,99
2020,8,1,0,40,999,5.7,8,0.61,5.56,4.03,132,1015.5,999,29.3,999,99,99
2020,8,1,0,50,999,5.5,6.9,99,99,99,999,1015.6,999,29.3,999,99,99
2020,8,1,1,0,999,4.6,5.8,99,99,99,999,1015.5,999,29.3,999,99,99
2020,8,1,1,10,999,4.6,5.7,99,99,99,999,1015.6,999,29.3,999,99,99
2020,8,1,1,20,999,4,5.5,99,99,99,999,1015.7,999,29.3,999,99,99
2020,8,1,1,30,999,3.9,5.5,99,99,99,999,1015.6,999,29.3,999,99,99
2020,8,1,1,40,999,4.6,5.6,0.59,5.56,4.05,129,1015.8,999,29.3,999,99,99
2020,8,1,1,50,999,5.1,6.5,99,99,99,999,1016,999,29.3,999,99,99
2020,8,1,2,0,999,4,6.1,99,99,99,999,1016,999,29.3,999,99,99
2020,8,1,2,10,999,5.1,7.1,99,99,99,999,1016.2,999,29.3,999,99,99
2020,8,1,2,20,999,4.8,5.9,99,99,99,999,1016.2,999,29.3,999,99,99
2020,8,1,2,30,999,4.7,6.1,99,99,99,999,1016.2,999,29.3,999,99,99
2020,8,1,2,40,999,5.1,6.3,0.62,5.88,4.02,135,1016.1,999,29.3,999,99,99
2020,8,1,2,50,999,5.2,6.1,99,99,99,999,1016.2,999,29.2,999,99,99
2020,8,1,3,0,999,5.1,6.6,99,99,99,999,1016.5,999,29.2,999,99,99
2020,8,1,3,10,999,6.8,8.5,99,99,99,999,1016.6,999,29.2,999,99,99
2020,8,1,3,20,999,7.3,9.4,99,99,99,999,1016.5,999,29.2,999,99,99
2020,8,1,3,30,999,6.5,8.5,99,99,99,999,1016.5,999,29.2,999,99,99
2020,8,1,3,40,999,4.6,6.1,0.66,6.67,4.01,169,1016.5,999,29.2,999,99,99
2020,8,1,3,50,999,3.9,5.1,99,99,99,999,1016.4,999,29.2,999,99,99
2020,8,1,4,0,999,3.6,4.8,99,99,99,999,1016.6,999,29.2,999,99,99
2020,8,1,4,10,999,3.2,4.2,99,99,99,999,1016.4,999,29.2,999,99,99
2020,8,1,4,20,999,3.4,4.1,99,99,99,999,1016.3,999,29.1,999,99,99
2020,8,1,4,30,999,3,3.5,99,99,99,999,1016.2,999,29.1,999,99,99
2020,8,1,4,40,999,3.5,4.3,0.6,5.56,4.43,155,1016.3,999,29.1,999,99,99
2020,8,1,4,50,999,2.5,3.6,99,99,99,999,1016.6,999,29.1,999,99,99
2020,8,1,5,0,999,3,4.2,99,99,99,999,1016.3,999,29.1,999,99,99
2020,8,1,5,10,999,3.1,3.9,99,99,99,999,1016.2,999,29.1,999,99,99
2020,8,1,5,20,999,2.7,3.3,99,99,99,999,1016,999,29.1,999,99,99
2020,8,1,5,30,999,3.6,4.3,99,99,99,999,1016,999,29.1,999,99,99
2020,8,1,5,40,999,3.9,4.9,0.62,5.26,4.47,140,1015.7,999,29.1,999,99,99
2020,8,1,5,50,999,4.4,5.2,99,99,99,999,1015.5,999,29.1,999,99,99
2020,8,1,6,0,999,4.5,5.4,99,99,99,999,1015.4,999,29.1,999,99,99
2020,8,1,6,10,999,3.8,5,99,99,99,999,1015.2,999,29.1,999,99,99
2020,8,1,6,20,999,3.5,4.2,99,99,99,999,1015.1,999,29.1,999,99,99
2020,8,1,6,30,999,3.6,4.2,99,99,99,999,1015,999,29.1,999,99,99
2020,8,1,6,40,999,3,3.8,0.58,5,4.29,144,1015.1,999,29.1,999,99,99
2020,8,1,6,50,999,2.8,3.5,99,99,99,999,1015,999,29.2,999,99,99
2020,8,1,7,0,999,2.9,3.5,99,99,99,999,1014.8,999,29.2,999,99,99
2020,8,1,7,10,999,3.1,3.8,99,99,99,999,1014.5,999,29.2,999,99,99
2020,8,1,7,20,999,3.4,4,99,99,99,999,1014.5,999,29.2,999,99,99
2020,8,1,7,30,999,3.2,3.8,99,99,99,999,1014.4,999,29.2,999,99,99
2020,8,1,7,40,999,3.2,4,0.49,5,4.07,148,1014.4,999,29.2,999,99,99
2020,8,1,7,50,999,3.5,4.2,99,99,99,999,1014.3,999,29.2,999,99,99
2020,8,1,8,0,999,3.8,4.5,99,99,99,999,1014.2,999,29.2,999,99,99
2020,8,1,8,10,999,3.6,4.3,99,99,99,999,1014.3,999,29.2,999,99,99
2020,8,1,8,20,999,3.7,4.4,99,99,99,999,1014.2,999,29.2,999,99,99
2020,8,1,8,30,999,4.2,5.1,99,99,99,999,1014.2,999,29.2,999,99,99
2020,8,1,8,40,999,4.5,5.6,0.53,5,4.05,145,1014.3,999,29.2,999,99,99
2020,8,1,8,50,999,4.7,5.7,99,99,99,999,1014.3,999,29.2,999,99,99
2020,8,1,9,0,999,5,6,99,99,99,999,1014.2,999,29.2,999,99,99
2020,8,1,9,10,999,5.2,6.2,99,99,99,999,1014.1,999,29.1,999,99,99
2020,8,1,9,20,999,5.5,6.8,99,99,99,999,1014.1,999,29.1,999,99,99
2020,8,1,9,30,999,5.5,6.5,99,99,99,999,1014,999,29.1,999,99,99
2020,8,1,9,40,999,5.4,6.4,0.5,5.56,3.87,148,1014.2,999,29.1,999,99,99
2020,8,1,9,50,999,5.3,6.5,99,99,99,999,1014.1,999,29.1,999,99,99
2020,8,1,10,0,999,5.6,6.9,99,99,99,999,1014.1,999,29.1,999,99,99
2020,8,1,10,10,999,5.7,6.9,99,99,99,999,1014.3,999,29.1,999,99,99
2020,8,1,10,20,999,6.1,7.5,99,99,99,999,1014.4,999,29,999,99,99
2020,8,1,10,30,999,5.2,6.3,99,99,99,999,1014.5,999,29,999,99,99
2020,8,1,10,40,999,5.3,6.9,0.55,6.67,3.83,164,1014.5,999,29,999,99,99
2020,8,1,10,50,999,5.1,6.2,99,99,99,999,1014.6,999,29,999,99,99
