start_date,end_date,state,category,central pressure,max wind (kt),name,,
8/25/05,8/31/05,"FL, SE1, SW1; LA, 3; MS, 3; AL, 1",3,920,110,Katrina,,
9/18/05,9/26/05,"FL, SW1; LA, 3; TX, N2",3,937,100,Rita,,
10/15/05,10/7/05,"FL, SW3; FL, SE2",3,950,105,Wilma,,
9/12/07,9/14/07,"TX, N1; LA, 1",1,985,80,Humberto,,
7/20/08,7/28/08,"TX, S1",1,967,75,Dolly,,
8/25/08,9/7/08,"LA, 2",2,954,90,Gustav,,
9/1/08,9/15/08,"TX, N2; LA, 1",2,950,95,Ike,,
8/21/12,9/3/12,"LA, 1",1,966,70,Isaac,,
8/28/16,9/8/16,"FL, NW1",1,981,70,Hermine,,
9/28/16,10/10/16,"* FL, NE2; GA, 1; SC, 1; NC, 1",2,963,85,Matthew,,
8/17/17,9/2/17,"TX,S 4",4,937,115,Harvey,,
8/30/17,9/14/17,"FL,SW 4,SE 1",4,931,115,Irma,,
10/4/17,10/11/17,"LA 1, MS 1",1,983,65,Nate,,
10/7/18,10/16/18,"FL, NW 5; I-GA 2",5,919,140,Michael,,
7/11/19,7/16/19,LA 2,2,993,90,Barry,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
