#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2020,8,20,0,0,203,4.1,5,99,99,99,999,1011.5,999,30.6,999,99,467.6308824
2020,8,20,0,10,206,3.2,4.5,99,99,99,999,1011.6,999,30.7,999,99,467.3169118
2020,8,20,0,20,195,3.1,4.1,99,99,99,999,1011.6,999,30.4,999,99,467.0301471
2020,8,20,0,30,191,3.2,4,99,99,99,999,1011.7,999,30.4,999,99,466.7779412
2020,8,20,0,40,200,2.8,4,0.19,99,4.13,999,1011.9,999,30.4,999,99,450.8627941
2020,8,20,0,50,209,2.5,3.3,99,99,99,999,1012.1,999,30.4,999,99,466.0801471
2020,8,20,1,0,214,3,3.8,99,99,99,999,1012.2,999,30.4,999,99,467.5029412
2020,8,20,1,10,203,2.8,3.3,99,99,99,999,1012.2,999,30.3,999,99,467.2492647
2020,8,20,1,20,213,2.8,3.7,99,99,99,999,1012.2,999,30.3,999,99,466.8963235
2020,8,20,1,30,207,2.3,3.3,99,99,99,999,1012.3,999,30.3,999,99,466.6389706
2020,8,20,1,40,204,2.6,3.4,0.2,99,4.07,999,1012.2,999,30.3,999,99,450.7763235
2020,8,20,1,50,198,2.4,3.8,99,99,99,999,1012.2,999,30.2,999,99,466.1029412
2020,8,20,2,0,205,2.6,3.2,99,99,99,999,1012.3,999,30.3,999,99,467.4852941
2020,8,20,2,10,217,3.1,4,99,99,99,999,1012.4,999,30.4,999,99,467.1735294
2020,8,20,2,20,215,3.7,5.2,99,99,99,999,1012.4,999,30.4,999,99,466.9470588
2020,8,20,2,30,215,4,4.5,99,99,99,999,1012.5,999,30.4,999,99,466.6463235
2020,8,20,2,40,195,3.5,4.2,0.22,99,4.29,999,1012.4,999,30.3,999,99,450.8869118
2020,8,20,2,50,184,2.2,3.1,99,99,99,999,1012.5,999,30.3,999,99,466.1889706
2020,8,20,3,0,178,2.5,3.2,99,99,99,999,1012.7,999,30.3,999,99,467.6897059
2020,8,20,3,10,176,2.5,3.7,99,99,99,999,1012.6,999,30.3,999,99,467.4139706
